2017-01-26,HOLLISTER,95023,San Benito,4.2588,4.0884480000000005,SolarCity,0.0
2017-02-15,DUBLIN,94568,Alameda,3.3124,3.163342,SolarCity,0.0
2017-01-30,OAKLAND,94621,Alameda,2.366,2.25953,SolarCity,13260.0
2017-03-08,DOS PALOS,93620,Merced,8.281,8.03257,SolarCity,0.0
2017-02-02,SAN LEANDRO,94578,Alameda,6.5604,6.330786,SolarCity,0.0
2017-03-02,FRESNO,93720,Fresno,7.785,7.590375,A-1 Contractors,20000.0
2017-01-11,WALNUT CREEK,94595,Contra Costa,6.7176,6.482484,Sungevity,24748.0
2017-01-13,SAN FRANCISCO,94124,San Francisco,1.8704,1.795584,Sungevity,0.0
2017-03-01,PITTSBURG,94565,Contra Costa,6.7860000000000005,6.51456,Vivint,0.0
2017-01-18,BERKELEY,94708,Alameda,2.614,2.52251,PetersenDean,14466.77
2017-01-24,WINDSOR,95492,Sonoma,79.0632,76.691304,Not Available,259515.0
2017-02-06,CORNING,96021,Tehama,10.8504,10.416384,Alternative Energy Sys.,41697.58
2017-01-12,MADERA,93638,Madera,12.5955,12.2806125,Sungevity,52339.0
2017-01-30,PLACERVILLE,95667,El Dorado,5.808,5.60472,Self Install,12000.0
2017-01-04,GONZALES,93926,Monterey,8.5176,8.262072,SolarCity,0.0
2017-01-19,PITTSBURG,94565,Contra Costa,7.0248,6.8491800000000005,SolarCity,0.0
2017-01-27,SAN JOSE,95120,Santa Clara,5.621,5.33995,Fidelity Home Energy,33880.0
2017-02-10,MONTE SERENO,95030,Santa Clara,5.7266,5.497536,Sunpower,31195.0
2017-01-13,WOODLAND,95695,Yolo,11.9066,11.404459,SolarCity,0.0
2017-01-26,FREMONT,94539,Alameda,3.577,3.39815,Fidelity Home Energy,25456.0
2017-02-23,LIVINGSTON,95334,Merced,7.5768,7.3116119999999984,American Array Solar,33000.0
2017-01-25,HOLLISTER,95023,San Benito,14.0496,13.628112,Self Install,15000.0
2017-03-03,CASTRO VALLEY,94546,Alameda,3.0017,2.881632,Vivint,0.0
2017-02-22,ATHERTON,94027,San Mateo,38.4727,36.933792,Sun First,187509.0
2017-01-11,OAKDALE,95361,Stanislaus,14.0012,13.561851999999998,Sunrun,0.0
2017-01-27,PITTSBURG,94565,Contra Costa,2.555,2.42725,Fidelity Home Energy,18198.0
2017-03-20,CLOVIS,93612,Fresno,7.098,6.84957,SolarCity,39936.0
2017-01-13,BERKELEY,94709,Alameda,2.5191,2.4561225,Sungevity,12706.0
2017-01-09,KENSINGTON,94708,Contra Costa,3.507,3.419325,Sungevity,13790.0
2017-03-07,STOCKTON,95206,San Joaquin,8.225,7.937125,Vivint,0.0
2017-01-17,WALLACE,95254,Calaveras,11.2376,11.069036,Not Available,50000.0
2017-01-04,SAN JOSE,95119,Santa Clara,6.1857,5.9692005,Sungevity,23412.0
2017-02-14,MERCED,95341,Merced,5.8575,5.6524875,SolarCity,0.0
2017-02-07,SAN JOSE,95138,Santa Clara,11.69,11.39775,Sungevity,41300.0
2017-02-02,MILPITAS,95035,Santa Clara,4.599,4.36905,Fidelity Home Energy,33628.0
2017-01-27,SAN JOSE,95125,Santa Clara,7.2774,7.095464999999999,Sungevity,26830.0
2017-02-22,FAIRFAX,94930,Marin,3.4365,3.3505875,Sungevity,0.0
2017-01-23,VALLEJO,94589,Solano,5.8194,5.586624,Semper Solaris,28354.0
2017-02-16,SUNNYVALE,94086,Santa Clara,3.549,3.4070400000000003,SolarCity,0.0
2017-03-02,FRESNO,93722,Fresno,4.3643,4.277014,Sunrun,0.0
2017-02-01,SAN JOSE,95111,Santa Clara,3.6112,3.484808,Nexus Energy,0.0
2017-02-08,OAKLAND,94609,Alameda,5.8575,5.6524875,SolarCity,30203.0
2017-02-06,BAKERSFIELD,93305,Kern,1.923,1.84608,Not Available,10000.0
2017-01-26,SAN JOSE,95122,Santa Clara,5.7624,5.531904,Sunrun,0.0
2017-02-10,LOS ALTOS HILLS,94022,Santa Clara,6.9014,6.625344,Clean Solar,42894.0
2017-02-08,NEWARK,94560,Alameda,3.0758,2.952768,SolarCity,17305.6
2017-03-06,SAN MATEO,94402,San Mateo,4.4856,4.306176,Self Install,8000.0
2017-01-29,CAMPBELL,95008,Santa Clara,4.2084,4.124232,Sungevity,14537.0
2017-03-09,MORAGA,94556,Contra Costa,8.5752,8.317944,SolarCity,40258.8
2017-01-12,LAKEPORT,95453,Lake,4.359,4.250025,Self Install,12500.0
2017-03-30,STOCKTON,95212,San Joaquin,64.2732,62.345004,Bta Solar,135000.0
2017-01-30,GRANITE BAY,95746,Placer,11.088,10.8108,Self Install,25000.0
2017-03-01,LAFAYETTE,94549,Contra Costa,3.8207,3.7251825,Skytech Solar,21447.0
2017-03-06,SAN CARLOS,94070,San Mateo,5.3889,5.281122,SolarCity,0.0
2017-02-07,PINOLE,94564,Contra Costa,1.6562,1.589952,SolarCity,9318.4
2017-03-08,ALBANY,94706,Alameda,2.438,2.37705,Sunrun,0.0
2017-02-15,SONOMA,95476,Sonoma,7.665,7.28175,Fidelity Home Energy,46420.0
2017-03-10,MILPITAS,95035,Santa Clara,6.535,6.306275,PetersenDean,25540.99
2017-03-14,BAKERSFIELD,93307,Kern,11.0262,10.585152,Vivint,0.0
2017-01-03,KING CITY,93930,Monterey,2.8392,2.725632,SolarCity,0.0
2017-02-09,HAYWARD,94545,Alameda,4.0474,3.905741,Not Available,18788.0
2017-01-11,RESCUE,95672,El Dorado,6.3102,6.152444999999998,Sierra Pacific H & C,32240.0
2017-01-04,DAVIS,95616,Yolo,3.8832,3.805536,Sierra Pacific H & C,17570.0
2017-01-03,MERCED,95340,Merced,33.936,32.74824,Jkb Energy,1.0
2017-02-15,DUBLIN,94568,Alameda,3.941,3.78336,SolarCity,14749.56
2017-01-31,WATSONVILLE,95076,Santa Cruz,4.9686,4.844385,SolarCity,0.0
2017-03-29,CUPERTINO,95014,Santa Clara,4.9203,4.723488,SolarCity,27955.2
2017-02-15,MILLBRAE,94030,San Mateo,4.732,4.54272,SolarCity,26624.0
2017-02-15,DAVIS,95616,Yolo,6.1516,5.936294,SolarCity,34611.2
2017-01-17,FRESNO,93720,Fresno,6.0788,5.957224,Sungevity,0.0
2017-01-25,SAN JOSE,95119,Santa Clara,6.1516,5.936294,SolarCity,0.0
2017-01-11,OAKLEY,94561,Contra Costa,6.0788,5.957224,Sungevity,22616.0
2017-02-08,CAMPBELL,95008,Santa Clara,8.6769,8.459977499999999,Sungevity,0.0
2017-01-30,CLEMENTS,95227,San Joaquin,13.3314,12.864801,PetersenDean,52147.54
2017-02-21,FRESNO,93725,Fresno,67.743,66.049425,Jkb Energy,169533.0
2017-02-15,BRENTWOOD,94513,Contra Costa,4.599,4.36905,Fidelity Home Energy,30772.0
2017-02-08,WATSONVILLE,95076,Santa Cruz,6.9744,6.800039999999999,Self Install,19000.0
2017-03-11,SELMA,93662,Fresno,2.343,2.260995,SolarCity,0.0
2017-03-27,BAKERSFIELD,93309,Kern,8.0988,7.774847999999999,SolarCity,0.0
2017-01-11,NOVATO,94947,Marin,6.643,6.31085,Fidelity Home Energy,39301.0
2017-02-03,TRACY,95376,San Joaquin,9.6063,9.318111,SolarCity,0.0
2017-02-27,SANTA MARIA,93455,Santa Barbara,4.762,4.57152,SolarCity,22366.0
2017-02-21,PETALUMA,94954,Sonoma,6.1578,6.034644,Sungevity,22326.0
2017-01-05,SAN RAMON,94583,Contra Costa,8.272,7.982480000000002,Not Available,28000.0
2017-01-12,SAN JOSE,95125,Santa Clara,6.1578,6.0038550000000015,Sungevity,22000.0
