180 Solar Power,11.679611454586878,0.001,0.0009117800139689387,3.092842176061016
1St Choice Solar,18.105455731778953,0.001,0.0009799999999999015,6.163218229270612
1St Light Energy,15.404269432223316,0.001,0.0009742209018345651,4.354667776570816
2 The T Const.,16.843365450362597,0.001,0.0009799999999999388,6.46341890967822
2G'S Solar Electric,16.208713400335967,0.001,0.0009682537079824105,3.2942707586815803
360 Solar Energy,14.505488996350568,0.001,0.0009742466257689272,1.761981237039285
4 Sons Solar Electric,20.42008423852804,0.001,0.0008873863888273113,4.433606739082244
4Th Day Energy,10.636708276476124,0.001,0.000974833300122837,4.204133571776291
A Plus Solar ,22.48136398208096,0.001,0.0009799999999998675,5.54888870108942
A-1 Contractors,17.88561742110624,0.001,0.0009790675803507997,4.7668981430565065
A-1 Guaranteed,22.067988470852615,0.001,0.000965,5.106626002926488
A.M. Sun Solar,13.136791241605534,0.001,0.0009767456596353045,3.1060580195720604
A1 Sun,26.593993881500907,0.001,0.0009653915058999812,5.013235936817132
Abc Solar,13.810855016646538,0.001,0.0009799999999995565,4.918895191504851
Abudant Energy,13.212212933214198,0.001,0.0009727785780907713,3.4272988717780617
Aca Solar,9.018556975498774,0.001,0.0009799999999992302,3.782301650689255
Active Solar,11.327825577492176,0.001,0.0009821735855364325,4.9987751088002605
Addy Electric,13.516566923712864,0.001,0.0009741129789989589,4.107321725341483
Adr Electric,15.297482318719359,0.001,0.0009799999999995984,3.2740233987692315
Adroit Solar,25.201643085349154,0.001,0.0008925604746691009,4.0045641259698765
Advanced Conservation,12.635992557114857,0.001,0.000980000000000081,3.8081582302473773
Advanced Improvements,15.149722571119225,0.001,0.000968558861603521,4.086559897852477
Advanced Solar Energy,20.38228453150673,0.001,0.0009650643364701362,4.300300877024518
Aikyum,9.634236068941371,0.001,0.0009742377113859546,2.364895610791317
Air Sun Inc,13.61197983149588,0.001,0.0009799999999994368,3.7589392392115237
Albion Power,20.31113266515788,0.001,0.0009711031720372166,5.893918166469088
Aleman Electric,27.029479203671247,0.001,0.0009751759759703019,6.611510718940816
Alex Redin Solar,18.81418670974924,0.001,0.0009780618753724986,4.3217204131592295
Alive Industries,16.812527392257117,0.001,0.0009229364499634769,3.296493791088385
All Bay Solar,17.765240017742467,0.001,0.0009650053867792239,4.841259526924008
All On Electric,13.377343426803257,0.001,0.0009663255884422743,4.2047785603829775
All Seasons Solar,9.936047455466063,0.001,0.0009463146709293795,3.8769911850476406
All Wire Electric,5.647316695194569,0.001,0.0009778346782811347,3.4638384081049978
Allen Energy,16.994857675112282,0.001,0.0009800000000000292,2.7453224888227346
Allstar Contractors,11.752977783612462,0.001,0.0009800000000014942,4.375995157550107
Allterra Solar,22.46342723225148,0.001,0.0009629770099062848,4.863955939987171
Alpha Electric,10.038509302972399,0.001,0.000980000000000098,3.660807553457739
Altadena Energy & Solar,32.05642703090264,0.001,0.000979999999999683,2.553918044571424
Altair Solar,13.334158202706183,0.001,0.0009206858255544288,3.457156695826173
Alternative Energy Sys.,11.110963439149302,0.001,0.000960385269459396,4.400492565745797
Alternative Power Generation,9.672489082969433,0.001,0.0009696221401987334,3.425490306495953
Alternative Power Sol.,22.58678160579274,0.001,0.0009717646135902096,3.530944162556764
Altsys Solar,10.23924971956128,0.001,0.0009784836863212807,2.7829032470979054
Ambassador Energy,9.299642499062067,0.001,0.0009517162099976123,3.8690923996150803
Ameco Solar,12.77133812639416,0.001,0.0009799999999989062,4.59285831812629
American Array Solar,19.822607988207565,0.001,0.0009650309195234792,4.181034166429904
American Solar,17.120249577384268,0.001,0.0009741785483704035,5.000188924428586
American Solar Direct,16.72968125760462,0.001,0.0009618879217870389,4.514944075694372
American Solar Power,16.26489697263402,0.001,0.0009800000000004384,3.0406707353932267
Amgreen Solutions,21.138201284800264,0.001,0.0009800000000001708,5.025288286145694
Amp Electric,17.2495,0.001,0.0009023750000000003,4.21875
Anthem Mechanical,11.237124211443712,0.001,0.0009800000000001281,3.398738307592352
Apex Solar,11.617266745706543,0.001,0.0009750000000000003,3.523999694933822
Applied Electrical,16.51037181996086,0.001,0.0009640000000000001,3.7267232006958033
Applied Solar Energy,16.360945273631838,0.001,0.0008909737029140015,3.660270078180526
Aram Solar,11.78105435247054,0.001,0.000975,3.4705201166686277
Arise Solar,9.030962511320341,0.001,0.0009634184142903793,2.1696479074521875
Ase Solar,12.10653587671549,0.001,0.000979999999999428,4.01519923969625
Asi Hastings,15.275347635027632,0.001,0.0009449640505459279,3.397552352673612
Atech Const.,16.37571726667942,0.001,0.000942545018116268,4.869548614109855
August Roofing,15.632561902768733,0.001,0.0009799999999999796,5.149836088442385
Az Solar,14.348683153669274,0.001,0.0009800000000001346,3.7865990276902264
Aztec Solar,11.746201839820195,0.001,0.0009735574590707557,4.052425050048513
B&B Solar,10.917502833553826,0.001,0.0009718826738134139,3.8442322490646434
Baize Electric,14.656188128178602,0.001,0.000965668274575407,3.4658094485344257
Baker Electric,12.338872697414548,0.001,0.0009049298598438616,3.0049064220164508
Baker Electric Solar,11.744841575316206,0.001,0.0009799999999994826,20.614322599093963
Barnes Solar,11.936899609262348,0.001,0.0009593761102521513,3.041887744267603
Barrier Solar,6.082133222570518,0.001,0.0009744615888839131,2.9551172636392935
Bay Area Energy,10.549479831369437,0.001,0.0009684919317063048,4.386862972239909
Bedrock Solar,11.974146341463415,0.001,0.0008596422764227641,2.2032520325203255
Bella Construction,13.932038481661458,0.001,0.0009768170579577378,4.036547673169199
Bella Electric,16.479668969544978,0.001,0.000978456701021808,3.522894945834808
